Field	Time	LME:X	LME:Y	LME:Z	L5M:X	L5M:Y	L5M:Z	RME:X	RME:Y	RME:Z	R5M:X	R5M:Y	R5M:Z	
	s													
1	0	304.059875	204.860611	127.414551	289.567902	289.04837	36.251984	509.393402	629.702209	71.919098	539.524597	744.410583	33.162731
2	0.01	302.797852	202.467209	130.340622	289.286377	284.098358	35.764526	509.48703	624.043396	71.772415	539.693665	738.777405	33.072544
3	0.02	301.638245	200.630753	133.585754	289.087921	279.231995	35.64539	509.570313	618.411377	71.637596	539.848938	733.160217	32.983109
4	0.03	300.581818	199.351669	137.149979	288.972717	274.450287	35.896873	509.64328	612.80603	71.514557	539.990356	727.558777	32.894474
5	0.04	299.63092	198.631104	141.032806	288.941193	269.756012	36.524376	509.705719	607.22699	71.403038	540.11792	721.971985	32.806587
6	0.05	298.7901	198.471207	145.232391	288.993713	265.156128	37.536739	509.757172	601.673462	71.302536	540.231567	716.398132	32.719254
7	0.06	298.067108	198.875107	149.743607	289.130127	260.664948	38.945942	509.796967	596.144165	71.212288	540.331482	710.83429	32.632347
8	0.07	297.473541	199.846817	154.55603	289.348969	256.308777	40.765282	509.824463	590.636841	71.131424	540.417664	705.277161	32.546146
9	0.08	297.025055	201.39093	159.651184	289.647156	252.130692	43.005745	509.839142	585.148682	71.059044	540.490479	699.723267	32.461639
10	0.09	296.741211	203.512421	164.999985	290.019623	248.195679	45.670929	509.840912	579.676147	70.994156	540.550476	694.169312	32.380527
11	0.1	296.644867	206.216095	170.560562	290.457947	244.594727	48.752277	509.830017	574.215454	70.935722	540.598572	688.612305	32.304909
12	0.11	296.761108	209.505829	176.276749	290.947906	241.447906	52.226715	509.807312	568.762451	70.882858	540.635864	683.050232	32.236862
13	0.12	297.115814	213.383377	182.077835	291.466217	238.904709	56.057091	509.774292	563.313232	70.834969	540.663574	677.481445	32.178246
14	0.13	297.733612	217.847183	187.879272	291.977905	237.140503	60.193993	509.732849	557.863831	70.791939	540.683105	671.904846	32.130413
15	0.14	298.635712	222.891525	193.584625	292.43576	236.34877	64.577682	509.685425	552.410583	70.753983	540.695923	666.320068	32.093948
16	0.15	299.837433	228.506058	199.088409	292.781372	236.729813	69.140358	509.634705	546.950195	70.721634	540.703491	660.727844	32.068523
17	0.16	301.345764	234.676361	204.279449	292.947937	238.477097	73.809509	509.583679	541.479614	70.695602	540.707886	655.129639	32.052948
18	0.17	303.157074	241.385391	209.044586	292.86438	241.761551	78.511848	509.535522	535.99646	70.676811	540.71167	649.527649	32.045372
19	0.18	305.255371	248.615738	213.272552	292.462036	246.71489	83.176086	509.493225	530.499023	70.666359	540.717712	643.924622	32.043484
20	0.19	307.610809	256.352325	216.857529	291.683258	253.413818	87.733543	509.459381	524.986938	70.665489	540.728455	638.322937	32.044704
21	0.2	310.179199	264.584625	219.702393	290.490753	261.868469	92.116516	509.43576	519.46051	70.67543	540.746033	632.724426	32.046459
22	0.21	312.902588	273.307983	221.72171	288.875214	272.018707	96.254707	509.423126	513.921509	70.69725	540.771729	627.130066	32.046444
23	0.22	315.710785	282.523773	222.844177	286.859436	283.741425	100.071228	509.421326	508.372223	70.731895	540.806274	621.539856	32.042927
24	0.23	318.524414	292.2388	223.014771	284.497925	296.868011	103.480042	509.429169	502.815796	70.780205	540.849854	615.952942	32.034962
25	0.24	321.258514	302.463898	222.196594	281.87207	311.208496	106.385773	509.444611	497.255737	70.84285	540.901855	610.368042	32.022465
26	0.25	323.827301	313.212524	220.372757	279.083069	326.576263	108.686569	509.464966	491.695679	70.920135	540.961182	604.783508	32.006123
27	0.26	326.149719	324.499146	217.548141	276.242767	342.807526	110.280785	509.487061	486.139008	71.011879	541.026245	599.197815	31.987127
28	0.27	328.154663	336.33728	213.750717	273.464417	359.772308	111.076866	509.507843	480.588715	71.117508	541.095032	593.609436	31.966778
29	0.28	329.786011	348.737823	209.031921	270.853485	377.375183	111.004128	509.524536	475.047272	71.236328	541.165283	588.016907	31.946184
30	0.29	331.006104	361.707062	203.466278	268.50061	395.5495	110.023117	509.535034	469.516602	71.367706	541.234497	582.419128	31.926123
31	0.3	331.798187	375.244843	197.149826	266.476624	414.248108	108.133492	509.537903	463.997955	71.511124	541.300171	576.815796	31.906916
32	0.31	332.166412	389.342499	190.197403	264.830292	433.433624	105.377991	509.532745	458.491943	71.66626	541.360291	571.207581	31.888376
33	0.32	332.134247	403.981323	182.738754	263.588135	453.069611	101.841713	509.520264	452.998718	71.833038	541.41333	565.596252	31.869854
34	0.33	331.741394	419.131226	174.913895	262.756378	473.113922	97.647369	509.501984	447.518005	72.011635	541.458313	559.984619	31.850466
35	0.34	331.039703	434.750031	166.868118	262.324463	493.514191	92.947365	509.47995	442.049316	72.202293	541.495361	554.376221	31.829401
36	0.35	330.089142	450.783478	158.74675	262.268707	514.205627	87.913826	509.456421	436.592102	72.405136	541.525513	548.774902	31.806131
37	0.36	328.953918	467.165497	150.690201	262.556427	535.110107	82.727898	509.433533	431.145447	72.62011	541.550537	543.183899	31.78051
38	0.37	327.698975	483.819275	142.829544	263.148987	556.136475	77.569229	509.413025	425.708221	72.847214	541.572693	537.604553	31.752825
39	0.38	326.38736	500.658661	135.282639	264.003906	577.181885	72.606651	509.396393	420.278717	73.086708	541.594543	532.035645	31.723774
40	0.39	325.077698	517.589661	128.151093	265.076447	598.133362	67.989868	509.384521	414.854736	73.339325	541.618347	526.472778	31.694351
41	0.4	323.821899	534.512024	121.518059	266.320953	618.870972	63.842556	509.377808	409.433594	73.606392	541.645569	520.908936	31.665594
42	0.41	322.663452	551.320923	115.446861	267.69278	639.27124	60.257614	509.376221	404.012024	73.889877	541.676208	515.3349	31.638298
43	0.42	321.636292	567.908508	109.980728	269.150757	659.211121	57.294907	509.379425	398.586639	74.192314	541.709167	509.741333	31.612825
44	0.43	320.76416	584.166199	105.143387	270.659424	678.572205	54.981918	509.387177	393.154388	74.516663	541.742737	504.119965	31.589106
45	0.44	320.060822	599.986084	100.940178	272.190948	697.243652	53.316742	509.399475	387.713135	74.866173	541.775391	498.465271	31.566719
46	0.45	319.530731	615.262756	97.359406	273.726074	715.124207	52.27219	509.417053	382.262268	75.244263	541.806152	492.77536	31.544943
47	0.46	319.17038	629.894592	94.37365	275.25412	732.123291	51.800842	509.441711	376.80307	75.654472	541.834717	487.05249	31.522774
48	0.47	318.969818	643.78479	91.94149	276.772583	748.161072	51.840588	509.476654	371.338745	76.100533	541.861267	481.302216	31.498993
49	0.48	318.914581	656.843018	90.009369	278.285919	763.167725	52.319351	509.526398	365.874115	76.586182	541.88678	475.532471	31.472376
50	0.49	318.987244	668.986145	88.513786	279.803528	777.081787	53.158218	509.596741	360.415131	77.115013	541.912659	469.752136	31.441769
51	0.5	319.169159	680.139038	87.383865	281.337402	789.848511	54.272949	509.694092	354.967926	77.690277	541.941284	463.96991	31.406101
52	0.51	319.441742	690.235413	86.54425	282.89975	801.418274	55.574425	509.824982	349.538208	78.314651	541.976013	458.193207	31.364384
53	0.52	319.787506	699.218445	85.918083	284.500854	811.745972	56.968765	509.995117	344.130707	78.990044	542.020508	452.427765	31.315733
54	0.53	320.190582	707.042297	85.430168	286.147522	820.790955	58.357704	510.208496	338.748749	79.7174	542.078308	446.67749	31.25947
55	0.54	320.636993	713.67395	85.010101	287.842133	828.518494	59.639931	510.466431	333.394257	80.496666	542.152161	440.944702	31.195423
56	0.55	321.114166	719.094727	84.595184	289.581635	834.902649	60.713882	510.767181	328.067902	81.327065	542.243347	435.230469	31.124323
57	0.56	321.610779	723.302856	84.133217	291.357117	839.931458	61.481937	511.106018	322.769287	82.207619	542.35144	429.53476	31.048067
